roadLabel,countryLabel,length
Mukono–Kayunga–Njeru Road,Uganda,58.4
Moroto–Nakapiripirit Road,Uganda,58
R307 road,South Africa,57
N28 road,Togo,57
Vurra–Arua–Koboko–Oraba Road,Uganda,57
Hoima–Kaiso–Tonya Road,Uganda,57
N4 road,Togo,56
Masaka–Mutukula Road,Uganda,56
R311 road,South Africa,55
N36 road,Togo,55
R302 road,South Africa,54
RN5,Benin,54
National Highway 8,Djibouti,53
Kayunga–Galiraya Road,Uganda,53
Jinja–Kamuli–Mbulamuti Road,Uganda,53
N2 road,Togo,52
N24 road,Togo,52
N6 road,Togo,52
Route nationale 18,Cameroon,52
National Highway 6,Djibouti,51
Mityana–Mubende Road,Uganda,51
R566 road,South Africa,50.8
R326 road,South Africa,50
Route nationale 21,Madagascar,50
Lira–Kamdini–Karuma Road,Uganda,50
Kampala-Jinja Highway,Uganda,50
Rukungiri–Kihihi–Ishasha–Kanungu Road,Uganda,49
Iganga–Kaliro–Pallisa Road,Uganda,49
Suam–Endebess–Kitale–Eldoret Road,Kenya,48
Mityana–Bukuya–Kiboga Road,Uganda,48
Kapchorwa–Suam Road,Uganda,48
Kampala–Jinja Expressway,Uganda,47.9
Skukuza-Lower Sabie Road,South Africa,46
National route 14,Mali,46
Mukono–Kyetume–Katosi–Nyenga Road,Uganda,46
Mbarara-Kikagati Road,Uganda,46
Route nationale 24,Madagascar,45
Kikorongo–Ishaka Road,Uganda,45
Napi Road,South Africa,44.8
R55 route,South Africa,43.8
Route nationale 17,Madagascar,42
Rabat Ringroad,Morocco,41.7
R114 road,South Africa,41
H7 Road,South Africa,41
Route nationale 41,Madagascar,41
Suleja–Minna Road,Nigeria,40
Route nationale 20,Madagascar,39
Myanzi–Kassanda–Bukuya–Kiboga Road,Uganda,39
Kamdini–Gulu Road,Uganda,38.5
Route nationale 22,Madagascar,38
Mbarara–Ishaka Road,Uganda,38
A32 road,Botswana,37.7
Mariakani–Kaloleni–Mavueni Road,Kenya,37
Kampala–Mityana Road,Uganda,37
Route nationale 14,Cameroon,36
N14 road,Togo,35
N20 road,Togo,35
N21 road,Togo,35
N22 road,Togo,35
N39 road,Togo,35
N7 road,Togo,35
RN1,Benin,35
N14 road,Guinea,35
Kampala–Busunju Expressway,Uganda,35
N20 road,Guinea,33
Ntungamo–Rukungiri Road,Uganda,32
C48 road (Namibia),Namibia,32
Entebbe-Kampala Highway,Uganda,32
Buhimba–Nalweyo–Kakindu–Bulamagi Road,Uganda,32
Beyers Naudé Drive,South Africa,31
Doispane Road,South Africa,30
National Highway 13,Djibouti,30
Masaka–Villa Maria–Bukomansimbi–Sembabule Road,Uganda,30
M5 road,South Africa,28
Route nationale 30a,Madagascar,28
Bumbobi–Bubulo–Lwakhakha Road,Uganda,28
JKIA–Westlands Highway,Kenya,27
National Highway 16,Djibouti,27
N16 road,Guinea,26.2
Al-Balyana - Western Desert Road,Egypt,26
R305 road,South Africa,26
N16 road,Togo,26
N25 road,Togo,26
Route nationale 8b,Madagascar,26
Matugga-Kapeeka Road,Uganda,26
Bulamagi–Igayaza–Kakumiro Road,Uganda,26
N3,Ghana,25
Mahonie Loop,South Africa,25
EN3-FG05,Cape Verde,25
Route nationale 47,Madagascar,25
Kampala–Entebbe Road,Uganda,25
N5,Ghana,24.85
Route nationale 33b,Madagascar,24
M3 road,South Africa,23
Route nationale 45,Madagascar,23
Ntungamo–Mirama Hills Road,Uganda,23
M2 road,South Africa,22.9
M43 road,South Africa,22.3
Ishaka–Kagamba Road,Uganda,22.1
R300 road,South Africa,22
N18 road,Togo,22
N19 road,Guinea,22
Kampala–Mpigi Expressway,Uganda,22
Gayaza-Ziroobwe Road,Uganda,21
Kampala–Bombo Expressway,Uganda,20.1
National Highway 2,Djibouti,20
Route nationale 46,Madagascar,19
Route nationale 59b,Madagascar,19
Mityana–Sekanyonyi–Busunju Road,Uganda,19
M1 road,South Africa,18.5
Malibongwe Drive,South Africa,18
EN1-SL01,Cape Verde,18
Luweero–Butalangu Road,Uganda,18
Corniche,Egypt,17
Route nationale 30,Madagascar,17
Route nationale 58a,Madagascar,16
M17 road,South Africa,15.9
N30 road,Togo,15
N35 road,Togo,15
National Highway 3,Djibouti,15
National Highway 12,Djibouti,15
EN1-ST06,Cape Verde,15
Route nationale 60,Madagascar,15
Route nationale 53,Madagascar,15
Ziroobwe–Wobulenzi Road,Uganda,15
Mbarara Northern Bypass Road,Uganda,14.5
B11 road,Namibia,14
Kampala Northern Bypass Highway,Uganda,14
Wabigalo–Nakasongola–Sasira Road,Uganda,13
N12 Southern Bypass,South Africa,12.8
Dongo Kundu bypass,Kenya,11
N23 road,Togo,11
Route nationale 57,Madagascar,11
Kampala Southern Bypass Highway,Uganda,11
N37 road,Togo,10
N42 road,Togo,10
EN1-ST03,Cape Verde,10
Plaine Champagne Road,Mauritius,9.2
Kampala–Gayaza Road,Uganda,9
route nationale 65,Madagascar,8.2
Route nationale 54,Madagascar,8
Rabat Ring Road 2,Morocco,8
Jan Smuts Avenue,South Africa,7.75
National Highway 4,Djibouti,7
EN1-ST05,Cape Verde,7
Route nationale 58b,Madagascar,7
Route nationale 52,Madagascar,6
Louis Botha Avenue,South Africa,5.75
Route nationale 51,Madagascar,5
Route nationale 59a,Madagascar,4
Gates of Paradise Pass,Lesotho,3.7
Route nationale 26,Madagascar,3
Route nationale 56,Madagascar,3
route nationale 2b,Madagascar,2
