cityLabel,countryLabel,population
Daoukro,Ivory Coast,101136
Aboisso,Ivory Coast,100903
Buyo,Ivory Coast,100848
Nkayi,Republic of the Congo,100783
Surman,Libya,100707
Diourbel,Senegal,100445
Ras Gharib,Egypt,100000
Mumias,Kenya,99987
Songea,Tanzania,99961
Bishoftu,Ethiopia,99928
Agnibilékrou,Ivory Coast,99501
Blida,Algeria,99200
Ain Aouda,Morocco,98502
Errachidia,Morocco,97687
Livingstone,Zambia,97488
Fkih Ben Saleh,Morocco,97380
Kumba,Cameroon,97073
Musumba,Democratic Republic of the Congo,96957
Yeumbeul Sud,Senegal,96956
Bogo,Cameroon,95230
Sidi Slimane,Morocco,95114
Oued Zem,Morocco,93776
Zefta,Egypt,93740
Monastir,Tunisia,93306
Kwekwe,Zimbabwe,93072
Boundiali,Ivory Coast,92792
Tamanrasset,Algeria,92635
Mtwara,Tanzania,92602
Kakamega,Kenya,91778
Samalut,Egypt,91475
Solwezi,Zambia,90856
Katiola,Ivory Coast,90641
Wajir,Kenya,90116
Waku-Kungo,Angola,90000
Khemisset,Morocco,88839
Bertoua,Cameroon,88462
Nasser,Egypt,88379
Damaturu,Nigeria,88014
Makeni,Sierra Leone,87679
Kpalimé,Togo,87478
Sefrou,Morocco,86903
Tiflet,Morocco,86709
Singida,Tanzania,85242
Makeni,Sierra Leone,85017
Lomé,Togo,85000
Walvis Bay,Namibia,85000
Qus,Egypt,84386
Limbe,Cameroon,84223
Dolisie,Republic of the Congo,83798
Dambai,Ghana,83715
Tamale,Ghana,83653
Taroudant,Morocco,83496
Lqliâa,Morocco,83235
Lodwar,Kenya,82970
Essaouira,Morocco,82962
Manfalut,Egypt,82585
Chelghoum Laïd,Algeria,82560
Gondar,Ethiopia,80886
Guercif,Morocco,80703
Zuwara,Libya,80310
Taroudant,Morocco,80149
Sefrou,Morocco,79887
Beni Mazar,Egypt,79553
Lisala,Democratic Republic of the Congo,79235
Tiko,Cameroon,78885
Tambacounda,Senegal,78800
Essaouira,Morocco,77966
Kadoma,Zimbabwe,77749
Caxito,Angola,77276
Berbérati,Central African Republic,76918
Ebolowa,Cameroon,76885
Livingstone,Zambia,76875
Dschang,Cameroon,76524
Abéché,Chad,76492
Hermonthis,Egypt,76457
Adigrat,Ethiopia,76400
Kadoma,Zimbabwe,76173
Tan-Tan,Morocco,76134
Maghagha,Egypt,75657
Nekemte,Ethiopia,75219
Tissemsilt,Algeria,75197
Teyateyaneng,Lesotho,75115
Sidi Kacem,Morocco,75037
Palma,Mozambique,75000
Moroni,Comoros,74749
Uromi,Nigeria,73569
Tan-Tan,Morocco,73209
Fada N’Gourma,Burkina Faso,73200
Goundi,Chad,73141
Edéa,Cameroon,73128
Sharm el-Sheikh,Egypt,73000
Yafran,Libya,72662
Tlemcen,Algeria,72200
Tibati,Cameroon,72081
Nkayi,Republic of the Congo,71620
Kom Ombo,Egypt,71596
Ali Sabieh,Djibouti,71230
Q129909528,Senegal,71036
Abutig,Egypt,70969
Mindelo,Cape Verde,70468
Port Fuad,Egypt,70417
Dimbokro,Ivory Coast,70198
Kumba,Cameroon,70112
Essaouira,Morocco,70000
Hosaena,Ethiopia,69995
Entebbe,Uganda,69958
Ziguinchor,Senegal,69646
Tiflet,Morocco,69640
Essaouira,Morocco,69493
Taroudant,Morocco,69489
El Quseyya,Egypt,69388
Bafia,Cameroon,69270
Mocuba,Mozambique,69045
Kamsar,Guinea,68999
Esna,Egypt,68656
Adrar,Algeria,68276
Borama,Somalia,68074
M'diq,Morocco,67599
Molepolole,Botswana,67598
Abnub,Egypt,67526
Ben Slimane,Morocco,67317
